"ID","OR","||","AND","&&","ISNOT","!",",","(",")","[","]","=",";","-=","+=","/=","*=","^=","!=","?=","<=",">=",">","<","-","+","*","%","^","/","++","--","TRUE","FALSE","CONST","STR_LIT","EOF_TOKEN"
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
0,2,3,-1,-1,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1
0,-1,-1,4,5,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1
0,-1,-1,-1,-1,6,7,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1
8,-1,-1,-1,-1,8,8,-1,8,9,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,8,-1,-1,-1,-1,8,8,8,8,8,8,-1
-1,-1,-1,-1,-1,-1,-1,10,-1,11,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,0,0,0,0,-1,-1,0,12,0,13,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
16,-1,-1,-1,-1,16,16,0,16,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,16,-1,-1,-1,-1,16,16,16,16,16,16,-1
-1,-1,-1,-1,-1,-1,-1,22,-1,22,-1,22,-1,22,17,18,19,20,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,-1,-1,-1,-1,23,23,0,23,0,-1,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,23,23,-1,-1,-1,-1,23,23,23,23,23,23,-1
-1,24,24,-1,-1,-1,-1,25,-1,25,-1,25,-1,25,25,25,25,25,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
26,0,0,-1,-1,26,26,0,26,0,-1,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,26,26,-1,-1,-1,-1,26,26,26,26,26,26,-1
-1,28,28,27,27,-1,-1,28,-1,28,-1,28,-1,28,28,28,28,28,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
29,0,0,0,0,29,29,0,29,0,-1,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,29,29,-1,-1,-1,-1,29,29,29,29,29,29,-1
-1,32,32,32,32,-1,-1,32,-1,32,-1,32,-1,32,32,32,32,32,32,30,31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
33,0,0,0,0,33,33,0,33,0,-1,0,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,33,33,-1,-1,-1,-1,33,33,33,33,33,33,-1
-1,38,38,38,38,-1,-1,38,-1,38,-1,38,-1,38,38,38,38,38,38,38,38,34,35,36,37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
39,0,0,0,0,39,39,0,39,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,39,39,-1,-1,-1,-1,39,39,39,39,39,39,-1
-1,42,42,42,42,-1,-1,42,-1,42,-1,42,-1,42,42,42,42,42,42,42,42,42,42,42,42,40,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
43,0,0,0,0,43,43,0,43,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,43,43,-1,-1,-1,-1,43,43,43,43,43,43,-1
-1,48,48,48,48,-1,-1,48,-1,48,-1,48,-1,48,48,48,48,48,48,48,48,48,48,48,48,48,48,44,45,46,47,-1,-1,-1,-1,-1,-1,-1
54,0,0,0,0,53,53,0,54,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,52,51,0,0,0,0,49,50,54,54,54,54,-1
-1,57,57,57,57,-1,-1,57,-1,57,-1,57,-1,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,55,56,-1,-1,-1,-1,-1
58,0,0,0,0,-1,-1,0,58,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,58,58,58,58,-1
60,0,0,0,0,-1,-1,0,59,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,62,63,64,-1
-1,66,66,66,66,-1,-1,66,65,66,65,66,-1,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,-1,-1,-1,-1,-1
